,IP,Datetime,Request,StatusCode,Target
206,69.71.222.186,[30/Jul/2010:18:04:11 +0100],GET / HTTP/1.0,403,1
207,189.79.206.232,[30/Jul/2010:19:02:45 +0100],GET /construcao.jpg HTTP/1.1,403,1
208,189.79.206.232,[30/Jul/2010:19:02:45 +0100],GET / HTTP/1.1,403,1
209,189.79.206.232,[30/Jul/2010:19:02:45 +0100],GET /construcao.jpg HTTP/1.1,403,1
210,189.79.206.232,[30/Jul/2010:19:02:48 +0100],GET /construcao.jpg HTTP/1.1,403,1
211,208.80.194.29,[31/Jul/2010:01:04:19 +0100],GET / HTTP/1.0,403,1
212,64.246.165.170,[31/Jul/2010:16:59:51 +0100],GET /robots.txt HTTP/1.0,403,1
213,64.246.165.170,[31/Jul/2010:16:59:52 +0100],GET / HTTP/1.1,403,1
214,208.80.194.39,[01/Aug/2010:08:49:09 +0100],GET / HTTP/1.0,403,1
215,74.52.245.146,[02/Aug/2010:10:44:26 +0100],GET / HTTP/1.0,403,1
216,94.30.133.2,[02/Aug/2010:14:43:57 +0100],GET / HTTP/1.1,403,1
217,208.80.194.36,[02/Aug/2010:15:58:27 +0100],GET / HTTP/1.0,403,1
218,67.195.114.39,[02/Aug/2010:16:19:22 +0100],GET /robots.txt HTTP/1.0,403,1
219,67.195.114.39,[02/Aug/2010:16:19:23 +0100],GET / HTTP/1.0,403,1
220,207.46.13.136,[02/Aug/2010:17:40:37 +0100],GET /robots.txt HTTP/1.1,403,1
221,207.46.13.136,[02/Aug/2010:17:57:27 +0100],GET / HTTP/1.1,403,1
222,122.177.123.211,[03/Aug/2010:05:37:17 +0100],GET / HTTP/1.1,403,1
223,207.46.194.230,[05/Aug/2010:08:02:10 +0100],GET /construcao.jpg HTTP/1.1,403,1
224,207.46.194.230,[05/Aug/2010:08:02:10 +0100],GET / HTTP/1.1,403,1
225,208.80.194.39,[05/Aug/2010:08:43:53 +0100],GET / HTTP/1.0,403,1
226,208.80.194.33,[06/Aug/2010:20:35:55 +0100],GET / HTTP/1.0,403,1
227,208.80.194.32,[08/Aug/2010:08:59:11 +0100],GET / HTTP/1.0,403,1
228,208.80.194.30,[09/Aug/2010:23:18:01 +0100],GET / HTTP/1.0,403,1
229,207.46.194.230,[10/Aug/2010:02:43:01 +0100],GET /construcao.jpg HTTP/1.1,403,1
230,207.46.194.230,[10/Aug/2010:02:43:01 +0100],GET / HTTP/1.1,403,1
231,38.105.83.6,[10/Aug/2010:05:13:51 +0100],GET / HTTP/1.1,403,1
232,216.145.14.142,[10/Aug/2010:08:28:18 +0100],GET /robots.txt HTTP/1.0,403,1
233,216.145.14.142,[10/Aug/2010:08:28:18 +0100],GET / HTTP/1.1,403,1
234,69.58.178.32,[10/Aug/2010:15:37:22 +0100],GET /robots.txt HTTP/1.1,403,1
235,69.58.178.32,[10/Aug/2010:15:37:23 +0100],GET / HTTP/1.1,403,1
236,184.73.19.239,[11/Aug/2010:06:35:39 +0100],GET / HTTP/1.0,403,1
237,208.80.194.30,[11/Aug/2010:13:13:24 +0100],GET / HTTP/1.0,403,1
238,68.168.105.56,[12/Aug/2010:03:43:37 +0100],GET / HTTP/1.1,403,1
239,208.80.194.30,[12/Aug/2010:23:34:17 +0100],GET / HTTP/1.0,403,1
240,66.249.66.170,[13/Aug/2010:15:45:47 +0100],GET /robots.txt HTTP/1.1,403,1
241,66.249.66.170,[13/Aug/2010:15:45:48 +0100],GET / HTTP/1.1,403,1
242,208.80.194.35,[14/Aug/2010:08:45:20 +0100],GET / HTTP/1.0,403,1
243,208.80.194.35,[15/Aug/2010:18:10:33 +0100],GET / HTTP/1.0,403,1
244,66.249.65.84,[15/Aug/2010:23:19:44 +0100],GET /robots.txt HTTP/1.1,403,1
245,66.249.65.84,[15/Aug/2010:23:19:44 +0100],GET / HTTP/1.1,403,1
246,207.46.194.230,[16/Aug/2010:09:24:42 +0100],GET /construcao.jpg HTTP/1.1,403,1
247,207.46.194.230,[16/Aug/2010:09:24:43 +0100],GET / HTTP/1.1,403,1
248,208.80.194.30,[17/Aug/2010:04:05:28 +0100],GET / HTTP/1.0,403,1
249,207.46.12.236,[17/Aug/2010:23:30:21 +0100],GET /robots.txt HTTP/1.1,403,1
250,207.46.12.236,[18/Aug/2010:00:26:30 +0100],GET / HTTP/1.1,403,1
251,67.195.114.39,[18/Aug/2010:05:40:24 +0100],GET /robots.txt HTTP/1.0,403,1
252,67.195.114.39,[18/Aug/2010:05:40:25 +0100],GET / HTTP/1.0,403,1
253,208.80.194.34,[18/Aug/2010:13:51:43 +0100],GET / HTTP/1.0,403,1
254,208.80.194.31,[19/Aug/2010:23:26:17 +0100],GET / HTTP/1.0,403,1
255,216.145.5.42,[20/Aug/2010:13:39:15 +0100],GET /robots.txt HTTP/1.0,403,1
256,216.145.5.42,[20/Aug/2010:13:39:16 +0100],GET / HTTP/1.1,403,1
257,65.55.3.169,[21/Aug/2010:04:10:48 +0100],GET /robots.txt HTTP/1.1,403,1
258,65.55.3.169,[21/Aug/2010:04:10:48 +0100],GET / HTTP/1.1,403,1
259,65.55.3.169,[21/Aug/2010:04:10:50 +0100],GET /robots.txt HTTP/1.1,403,1
260,65.55.3.169,[21/Aug/2010:04:10:50 +0100],GET / HTTP/1.1,403,1
261,87.118.82.104,[21/Aug/2010:05:42:29 +0100],GET / HTTP/1.0,403,1
262,208.80.194.37,[21/Aug/2010:09:11:12 +0100],GET / HTTP/1.0,403,1
263,65.55.3.169,[21/Aug/2010:23:40:44 +0100],GET /robots.txt HTTP/1.1,403,1
264,65.55.3.169,[21/Aug/2010:23:40:45 +0100],GET / HTTP/1.1,403,1
265,65.55.3.169,[21/Aug/2010:23:40:47 +0100],GET /robots.txt HTTP/1.1,403,1
266,65.55.3.169,[21/Aug/2010:23:40:47 +0100],GET / HTTP/1.1,403,1
267,87.118.82.104,[22/Aug/2010:18:11:44 +0100],GET / HTTP/1.0,403,1
268,208.80.194.35,[22/Aug/2010:18:19:26 +0100],GET / HTTP/1.0,403,1
269,208.80.194.34,[24/Aug/2010:03:51:58 +0100],GET / HTTP/1.0,403,1
270,65.55.3.169,[24/Aug/2010:09:08:55 +0100],GET /robots.txt HTTP/1.1,403,1
271,65.55.3.169,[24/Aug/2010:09:08:56 +0100],GET / HTTP/1.1,403,1
272,65.55.3.169,[24/Aug/2010:09:08:58 +0100],GET /robots.txt HTTP/1.1,403,1
273,65.55.3.169,[24/Aug/2010:09:08:58 +0100],GET / HTTP/1.1,403,1
274,208.80.194.30,[25/Aug/2010:13:27:21 +0100],GET / HTTP/1.0,403,1
275,208.80.194.32,[26/Aug/2010:23:15:33 +0100],GET / HTTP/1.0,403,1
276,87.118.82.104,[27/Aug/2010:06:26:37 +0100],GET / HTTP/1.0,403,1
277,65.55.3.169,[27/Aug/2010:09:00:23 +0100],GET /robots.txt HTTP/1.1,403,1
278,65.55.3.169,[27/Aug/2010:09:00:24 +0100],GET / HTTP/1.1,403,1
279,65.55.3.169,[27/Aug/2010:09:00:26 +0100],GET /robots.txt HTTP/1.1,403,1
280,65.55.3.169,[27/Aug/2010:09:00:26 +0100],GET / HTTP/1.1,403,1
281,207.241.227.77,[27/Aug/2010:23:34:37 +0100],GET /robots.txt HTTP/1.1,403,1
282,208.80.194.30,[28/Aug/2010:09:31:19 +0100],GET / HTTP/1.0,403,1
283,208.80.194.32,[29/Aug/2010:18:26:44 +0100],GET / HTTP/1.0,403,1
284,65.55.3.169,[30/Aug/2010:09:07:06 +0100],GET /robots.txt HTTP/1.1,403,1
285,65.55.3.169,[30/Aug/2010:09:07:06 +0100],GET / HTTP/1.1,403,1
